date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:03	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
12:30:03	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
12:30:04	990/990	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
12:30:05	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
12:30:07	601083/601083	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2007:00:06%20GMT	https://www.classcentral.com/rankings	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
12:30:08	593857/593857	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2007:00:07%20GMT	https://www.classcentral.com/collections	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
12:30:09	576513/576513	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2007:00:08%20GMT	https://www.classcentral.com/subjects	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
12:30:10	898908/898908	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2007:00:09%20GMT	https://www.classcentral.com/subject/cs	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
12:30:11	848639/848639	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2007:00:11%20GMT	https://www.classcentral.com/subject/health	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
12:30:11	7683/7683	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2007:00:12%20GMT	https://www.classcentral.com/subject/business	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/subject/business	(from https://www.classcentral.com/)
12:30:12	7715/7715	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2007:00:12%20GMT	https://www.classcentral.com/subject/humanities	C:/Users/ihtre/OneDrive/Desktop/classCentral/www.classcentral.com/subject/humanities	(from https://www.classcentral.com/)
